"SizeKB","Path"
"1320.6","frontend\dist\stats.html"
"256.84","frontend\dist\assets\vendor.recharts-D4ZgNau4.js"
"176.69","frontend\dist\assets\vendor.react-dom-Fd9PDthK.js"
"95.59","frontend\dist\assets\vendor.supabase_auth-js-CaOH3FLv.js"
"47.41","frontend\dist\web-app-manifest-512x512.png"
"40.28","frontend\dist\assets\index-DtWomM5O.js"
"36.93","frontend\dist\assets\vendor.lodash-D8DjFWK-.js"
"36.2","frontend\dist\assets\vendor.react-router-BYMN-Mav.js"
"30.19","frontend\dist\assets\vendor.supabase_realtime-js-DmFurkkw.js"
"24.46","frontend\dist\assets\vendor.supabase_phoenix-BAuqSL5U.js"
"21.09","frontend\dist\assets\vendor.supabase_storage-js-CJb-yUAv.js"
"18.84","frontend\dist\assets\vendor.react-smooth-C2QZfihJ.js"
"17.01","frontend\dist\assets\index-D8p8FfYf.css"
"15.61","frontend\dist\assets\vendor.supabase_postgrest-js-DyY0__qN.js"
"14.73","frontend\dist\favicon.ico"
